booth,party,votes
Richardson,The Greens,185
Richardson,Ungrouped,250
Scullin,ACT Labor,2620
Scullin,Animal Justice Party,65
Scullin,Australian Sex Party ACT,20
Scullin,Canberra Community Voters,130
Scullin,Canberra Liberals,1405
Scullin,Community Alliance Party,0
Scullin,Liberal Democrats,80
Scullin,Like Canberra,45
Scullin,Sustainable Australia (ACT),170
Scullin,The Greens,740
Scullin,Ungrouped,525
Tharwa,ACT Labor,205
Tharwa,Animal Justice Party,0
Tharwa,Australian Sex Party ACT,20
Tharwa,Canberra Community Voters,0
Tharwa,Canberra Liberals,345
Tharwa,Community Alliance Party,0
Tharwa,Liberal Democrats,10
Tharwa,Like Canberra,0
Tharwa,Sustainable Australia (ACT),10
Tharwa,The Greens,55
Tharwa,Ungrouped,45
Theodore,ACT Labor,2770
Theodore,Animal Justice Party,175
Theodore,Australian Sex Party ACT,805
Theodore,Canberra Community Voters,0
Theodore,Canberra Liberals,2925
Theodore,Community Alliance Party,0
Theodore,Liberal Democrats,160
Theodore,Like Canberra,50
Theodore,Sustainable Australia (ACT),75
Theodore,The Greens,235
Theodore,Ungrouped,315
Tuggeranong,ACT Labor,2620
Tuggeranong,Animal Justice Party,265
Tuggeranong,Australian Sex Party ACT,825
Tuggeranong,Canberra Community Voters,0
Tuggeranong,Canberra Liberals,2655
Tuggeranong,Community Alliance Party,10
Tuggeranong,Liberal Democrats,255
Tuggeranong,Like Canberra,85
Tuggeranong,Sustainable Australia (ACT),170
Tuggeranong,The Greens,645
Tuggeranong,Ungrouped,285
Tuggeranong (Pre-Poll),ACT Labor,30040
Tuggeranong (Pre-Poll),Animal Justice Party,1825
Tuggeranong (Pre-Poll),Australian Sex Party ACT,4675
Tuggeranong (Pre-Poll),Canberra Community Voters,75
Tuggeranong (Pre-Poll),Canberra Liberals,40515
Tuggeranong (Pre-Poll),Community Alliance Party,225
Tuggeranong (Pre-Poll),Liberal Democrats,2310
Tuggeranong (Pre-Poll),Like Canberra,1080
Tuggeranong (Pre-Poll),Sustainable Australia (ACT),1455
Tuggeranong (Pre-Poll),The Greens,4465
Tuggeranong (Pre-Poll),Ungrouped,3025
Turner,ACT Labor,4510
Turner,Animal Justice Party,80
Turner,Australian Sex Party ACT,15
Turner,Canberra Community Voters,260
Turner,Canberra Liberals,1980
Turner,Community Alliance Party,0
Turner,Liberal Democrats,190
Turner,Like Canberra,60
Turner,Sustainable Australia (ACT),110
Turner,The Greens,2930
Turner,Ungrouped,425
Wanniassa,ACT Labor,3010
Wanniassa,Animal Justice Party,280
Wanniassa,Australian Sex Party ACT,780
Wanniassa,Canberra Community Voters,5
Wanniassa,Canberra Liberals,3165
Wanniassa,Community Alliance Party,10
Wanniassa,Liberal Democrats,180
Wanniassa,Like Canberra,100
Wanniassa,Sustainable Australia (ACT),115
Wanniassa,The Greens,595
Wanniassa,Ungrouped,310
Wanniassa Hills,ACT Labor,2760
Wanniassa Hills,Animal Justice Party,220
Wanniassa Hills,Australian Sex Party ACT,410
Wanniassa Hills,Canberra Community Voters,0
Wanniassa Hills,Canberra Liberals,3455
Wanniassa Hills,Community Alliance Party,0
Wanniassa Hills,Liberal Democrats,235
Wanniassa Hills,Like Canberra,60
Wanniassa Hills,Sustainable Australia (ACT),110
Wanniassa Hills,The Greens,835
Wanniassa Hills,Ungrouped,345
Waramanga,ACT Labor,4175
Waramanga,Animal Justice Party,260
Waramanga,Australian Sex Party ACT,425
Waramanga,Canberra Community Voters,0
Waramanga,Canberra Liberals,4375
Waramanga,Community Alliance Party,60
Waramanga,Liberal Democrats,125
Waramanga,Like Canberra,155
Waramanga,Sustainable Australia (ACT),135
Waramanga,The Greens,1510
Waramanga,Ungrouped,200
Watson,ACT Labor,5950
Watson,Animal Justice Party,185
Watson,Australian Sex Party ACT,35
Watson,Canberra Community Voters,170
Watson,Canberra Liberals,2820
Watson,Community Alliance Party,0
Watson,Liberal Democrats,190
Watson,Like Canberra,135
Watson,Sustainable Australia (ACT),195
Watson,The Greens,3385
Watson,Ungrouped,430
Weetangera,ACT Labor,3755
Weetangera,Animal Justice Party,90
Weetangera,Australian Sex Party ACT,0
Weetangera,Canberra Community Voters,115
Weetangera,Canberra Liberals,3395
Weetangera,Community Alliance Party,0
Weetangera,Liberal Democrats,50
Weetangera,Like Canberra,55
Weetangera,Sustainable Australia (ACT),165
Weetangera,The Greens,970
Weetangera,Ungrouped,750
Weston,ACT Labor,3130
Weston,Animal Justice Party,160
Weston,Australian Sex Party ACT,335
Weston,Canberra Community Voters,0
Weston,Canberra Liberals,3210
Weston,Community Alliance Party,40
Weston,Liberal Democrats,135
Weston,Like Canberra,85
Weston,Sustainable Australia (ACT),115
Weston,The Greens,1085
Weston,Ungrouped,125
Woden,ACT Labor,1270
Woden,Animal Justice Party,105
Woden,Australian Sex Party ACT,215
Woden,Canberra Community Voters,5
Woden,Canberra Liberals,880
Woden,Community Alliance Party,20
Woden,Liberal Democrats,70
Woden,Like Canberra,55
Woden,Sustainable Australia (ACT),60
Woden,The Greens,475
Woden,Ungrouped,80
Woden (Pre-Poll),ACT Labor,22265
Woden (Pre-Poll),Animal Justice Party,1275
Woden (Pre-Poll),Australian Sex Party ACT,1385
Woden (Pre-Poll),Canberra Community Voters,335
Woden (Pre-Poll),Canberra Liberals,31485
Woden (Pre-Poll),Community Alliance Party,440
Woden (Pre-Poll),Liberal Democrats,1390
Woden (Pre-Poll),Like Canberra,770
Woden (Pre-Poll),Sustainable Australia (ACT),940
Woden (Pre-Poll),The Greens,6355
Woden (Pre-Poll),Ungrouped,1715
Yarralumla,ACT Labor,2345
Yarralumla,Animal Justice Party,50
Yarralumla,Australian Sex Party ACT,30
Yarralumla,Canberra Community Voters,125
Yarralumla,Canberra Liberals,3380
Yarralumla,Community Alliance Party,0
Yarralumla,Liberal Democrats,65
Yarralumla,Like Canberra,55
Yarralumla,Sustainable Australia (ACT),60
Yarralumla,The Greens,860
Yarralumla,Ungrouped,1020
